model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch_r79_BAG_L1,0.4723624397979081,0.594198308500066,f1_macro,1.1893887519836426,0.7555520534515381,11.817431926727295,1.1893887519836426,0.7555520534515381,11.817431926727295,1,True,9
NeuralNetFastAI_BAG_L1,0.46075619816647695,0.725070459484091,f1_macro,2.9764370918273926,1.1131865978240967,96.15863084793091,2.9764370918273926,1.1131865978240967,96.15863084793091,1,True,1
NeuralNetTorch_BAG_L1,0.456110373770893,0.7373247657637614,f1_macro,0.9290969371795654,0.8345272541046143,338.77725982666016,0.9290969371795654,0.8345272541046143,338.77725982666016,1,True,7
ExtraTreesGini_BAG_L1,0.45075574778444877,0.7602047712771185,f1_macro,0.4514119625091553,3.9197778701782227,5.5979650020599365,0.4514119625091553,3.9197778701782227,5.5979650020599365,1,True,5
RandomForestGini_BAG_L1,0.44410376354089903,0.8036952743393743,f1_macro,0.6499550342559814,3.92616605758667,15.874367952346802,0.6499550342559814,3.92616605758667,15.874367952346802,1,True,2
CatBoost_BAG_L1,0.4399547018793224,0.729764370238528,f1_macro,0.43644094467163086,0.7132303714752197,1797.8396408557892,0.43644094467163086,0.7132303714752197,1797.8396408557892,1,True,4
WeightedEnsemble_L2,0.43962827854286357,0.8216123109515877,f1_macro,5.012038946151733,9.848675012588501,470.0706248283386,0.003998994827270508,0.011841058731079102,2.0686700344085693,2,True,10
ExtraTreesEntr_BAG_L1,0.43574550842739884,0.780186624186778,f1_macro,0.2578260898590088,4.0051589012146,6.22750186920166,0.2578260898590088,4.0051589012146,6.22750186920166,1,True,6
RandomForestEntr_BAG_L1,0.42712417681846904,0.8153847581176233,f1_macro,0.45255088806152344,3.962954044342041,17.191696166992188,0.45255088806152344,3.962954044342041,17.191696166992188,1,True,3
CatBoost_BAG_L2,0.41928904210218443,0.828017508629422,f1_macro,7.905041933059692,19.67842936515808,3881.069234609604,0.22886919975280762,0.23621058464050293,1528.5208292007446,2,True,14
CatBoost_r9_BAG_L2,0.4187303477369308,0.8029365259030917,f1_macro,7.7282586097717285,19.50795888900757,2355.9707283973694,0.05208587646484375,0.06574010848999023,3.422322988510132,2,True,21
CatBoost_r177_BAG_L2,0.41817688961554617,0.8269461789374984,f1_macro,7.913719654083252,19.57663607597351,2618.062602519989,0.2375469207763672,0.13441729545593262,265.51419711112976,2,True,18
CatBoost_BAG_L3,0.4166824388871159,0.8279806352517577,f1_macro,13.904016017913818,33.963666915893555,6664.345672607422,0.07052898406982422,0.2845473289489746,2351.6852259635925,3,True,26
WeightedEnsemble_L4,0.4007175069550902,0.8415958494364956,f1_macro,15.231973886489868,39.415442943573,4389.5384311676025,0.00273895263671875,0.028420209884643555,14.580288887023926,4,True,27
CatBoost_r177_BAG_L1,0.39767977891034473,0.6356474067731339,f1_macro,0.3330650329589844,0.21166563034057617,63.06391096115112,0.3330650329589844,0.21166563034057617,63.06391096115112,1,True,8
WeightedEnsemble_L3,0.3976349429392337,0.8413865452199559,f1_macro,10.41464114189148,26.513275146484375,2711.312322616577,0.002543210983276367,0.01134800910949707,2.5007190704345703,3,True,22
NeuralNetTorch_r79_BAG_L2,0.39604692767433397,0.8398576841705109,f1_macro,8.653661012649536,20.215351581573486,2390.3550934791565,0.9774882793426514,0.7731328010559082,37.80668807029724,2,True,19
NeuralNetFastAI_BAG_L3,0.39342388534244677,0.8385477834159407,f1_macro,14.658756017684937,34.22189545631409,4354.000262498856,0.8252689838409424,0.5427758693695068,41.339815855026245,3,True,23
NeuralNetFastAI_r191_BAG_L2,0.3922340205367217,0.8384125338131113,f1_macro,9.074359655380249,20.28713083267212,2373.598699569702,1.3981869220733643,0.844912052154541,21.050294160842896,2,True,20
RandomForestGini_BAG_L3,0.3919362505622481,0.8372399131359622,f1_macro,14.21823000907898,36.27935981750488,4323.261273384094,0.38474297523498535,2.6002402305603027,10.600826740264893,3,True,24
RandomForestEntr_BAG_L3,0.3902414424041524,0.8380704549597642,f1_macro,14.019222974777222,36.244006633758545,4323.0174996852875,0.18573594093322754,2.564887046813965,10.35705304145813,3,True,25
NeuralNetFastAI_BAG_L2,0.3899216119225801,0.8367581882809949,f1_macro,8.71511960029602,20.022390365600586,2391.5608682632446,1.0389468669891357,0.5801715850830078,39.012462854385376,2,True,11
NeuralNetTorch_BAG_L2,0.3883128282424333,0.8390983761308576,f1_macro,8.55951476097107,20.136115789413452,2386.5332164764404,0.8833420276641846,0.693897008895874,33.98481106758118,2,True,17
RandomForestGini_BAG_L2,0.3881125259214528,0.8367623422952079,f1_macro,7.970415830612183,22.06470799446106,2364.887452363968,0.29424309730529785,2.6224892139434814,12.339046955108643,2,True,12
RandomForestEntr_BAG_L2,0.3868257657779411,0.837850306492303,f1_macro,7.9170918464660645,22.01600170135498,2365.0560994148254,0.2409191131591797,2.5737829208374023,12.507694005966187,2,True,13
ExtraTreesEntr_BAG_L2,0.37957181492805275,0.8364678399908376,f1_macro,8.13731575012207,22.335627794265747,2355.4746153354645,0.46114301681518555,2.893409013748169,2.9262099266052246,2,True,16
ExtraTreesGini_BAG_L2,0.3784516485561027,0.8361431746859981,f1_macro,8.020715713500977,22.26095700263977,2355.575890302658,0.3445429801940918,2.8187382221221924,3.027484893798828,2,True,15
